first_name,last_name,specialization,department,phone,license_number
Arjun,Mehta,Cardiology,Cardiology,555-1001,MD700101
Priya,Sharma,Neurology,Neurology,555-1002,MD700102
Rahul,Verma,Orthopedics,Orthopedics,555-1003,MD700103
Sneha,Iyer,Oncology,Oncology,555-1004,MD700104
Vikram,Gupta,Dermatology,Dermatology,555-1005,MD700105
Ananya,Rao,Endocrinology,Endocrinology,555-1006,MD700106
Karan,Kapoor,Gastroenterology,Gastroenterology,555-1007,MD700107
Neha,Patel,Pediatrics,Pediatrics,555-1008,MD700108
Rohit,Chopra,Psychiatry,Psychiatry,555-1009,MD700109


